date,product_id,product_name,category,city,state,quantity,unit_price,discount_pct,revenue,profit
2023-01-04,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,8,4249.15,15,33993.2,13993.2
2023-01-04,P004,USB-C Hub 7-in-1,Accessories,Bangalore,Karnataka,9,1999.0,0,17991.0,10791.0
2023-01-04,P005,Mechanical Keyboard,Peripherals,Chennai,Tamil Nadu,8,8999.0,0,71992.0,35992.0
2023-01-04,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,12,34999.0,0,419988.0,131988.0
2023-01-04,P007,Gaming Mouse RGB,Peripherals,Bangalore,Karnataka,15,2849.05,5,42735.75,24735.75
2023-01-04,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,9,1424.05,5,12816.45,7416.45
2023-01-05,P001,Laptop Pro X1,Electronics,Pune,Maharashtra,5,74999.0,0,374995.0,114995.0
2023-01-05,P002,Smart Watch S3,Wearables,Pune,Maharashtra,7,24999.0,0,174993.0,69993.0
2023-01-05,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,9,4249.15,15,38242.35,15742.35
2023-01-05,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,6,1699.15,15,10194.9,5394.9
2023-01-05,P005,Mechanical Keyboard,Peripherals,Bangalore,Karnataka,9,8099.1,10,72891.9,32391.9
2023-01-05,P006,Monitor 27inch 4K,Electronics,Delhi,Delhi,5,31499.1,10,157495.5,37495.5
2023-01-05,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,2,2999.0,0,5998.0,3598.0
2023-01-05,P008,Laptop Stand Aluminum,Accessories,Kolkata,West Bengal,8,1424.05,5,11392.4,6592.4
2023-01-06,P001,Laptop Pro X1,Electronics,Hyderabad,Telangana,8,63749.15,15,509993.2,93993.2
2023-01-06,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,6,21249.15,15,127494.9,37494.9
2023-01-06,P003,Wireless Earbuds,Audio,Pune,Maharashtra,9,4999.0,0,44991.0,22491.0
2023-01-06,P004,USB-C Hub 7-in-1,Accessories,Chennai,Tamil Nadu,3,1999.0,0,5997.0,3597.0
2023-01-06,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,5,8549.05,5,42745.25,20245.25
2023-01-06,P006,Monitor 27inch 4K,Electronics,Hyderabad,Telangana,13,34999.0,0,454987.0,142987.0
2023-01-06,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,12,2699.1,10,32389.2,17989.2
2023-01-06,P008,Laptop Stand Aluminum,Accessories,Pune,Maharashtra,10,1499.0,0,14990.0,8990.0
2023-01-07,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,9,71249.05,5,641241.45,173241.45
2023-01-07,P002,Smart Watch S3,Wearables,Kolkata,West Bengal,8,24999.0,0,199992.0,79992.0
2023-01-07,P003,Wireless Earbuds,Audio,Hyderabad,Telangana,7,4999.0,0,34993.0,17493.0
2023-01-07,P004,USB-C Hub 7-in-1,Accessories,Chennai,Tamil Nadu,12,1699.15,15,20389.8,10789.8
2023-01-07,P005,Mechanical Keyboard,Peripherals,Hyderabad,Telangana,8,7649.15,15,61193.2,25193.2
2023-01-07,P006,Monitor 27inch 4K,Electronics,Ahmedabad,Gujarat,5,31499.1,10,157495.5,37495.5
2023-01-07,P007,Gaming Mouse RGB,Peripherals,Ahmedabad,Gujarat,11,2999.0,0,32989.0,19789.0
2023-01-07,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,12,1499.0,0,17988.0,10788.0
2023-01-08,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,14,74999.0,0,1049986.0,321986.0
2023-01-08,P002,Smart Watch S3,Wearables,Mumbai,Maharashtra,11,24999.0,0,274989.0,109989.0
2023-01-08,P003,Wireless Earbuds,Audio,Delhi,Delhi,18,4249.15,15,76484.7,31484.7
2023-01-08,P004,USB-C Hub 7-in-1,Accessories,Delhi,Delhi,8,1699.15,15,13593.2,7193.2
2023-01-08,P005,Mechanical Keyboard,Peripherals,Ahmedabad,Gujarat,21,8099.1,10,170081.1,75581.1
2023-01-08,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,11,33249.05,5,365739.55,101739.55
2023-01-08,P007,Gaming Mouse RGB,Peripherals,Ahmedabad,Gujarat,14,2699.1,10,37787.4,20987.4
2023-01-08,P008,Laptop Stand Aluminum,Accessories,Kolkata,West Bengal,7,1349.1,10,9443.7,5243.7
2023-01-09,P001,Laptop Pro X1,Electronics,Hyderabad,Telangana,12,67499.1,10,809989.2,185989.2
2023-01-09,P002,Smart Watch S3,Wearables,Mumbai,Maharashtra,9,21249.15,15,191242.35,56242.35
2023-01-09,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,4,4249.15,15,16996.6,6996.6
2023-01-09,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,7,1699.15,15,11894.05,6294.05
2023-01-09,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,4,8999.0,0,35996.0,17996.0
2023-01-09,P006,Monitor 27inch 4K,Electronics,Hyderabad,Telangana,7,33249.05,5,232743.35,64743.35
2023-01-09,P007,Gaming Mouse RGB,Peripherals,Delhi,Delhi,7,2849.05,5,19943.35,11543.35
2023-01-09,P008,Laptop Stand Aluminum,Accessories,Mumbai,Maharashtra,7,1274.15,15,8919.05,4719.05
2023-01-10,P001,Laptop Pro X1,Electronics,Hyderabad,Telangana,8,67499.1,10,539992.8,123992.8
2023-01-10,P002,Smart Watch S3,Wearables,Delhi,Delhi,4,22499.1,10,89996.4,29996.4
2023-01-10,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,8,4249.15,15,33993.2,13993.2
2023-01-10,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,8,1699.15,15,13593.2,7193.2
2023-01-10,P005,Mechanical Keyboard,Peripherals,Chennai,Tamil Nadu,6,8999.0,0,53994.0,26994.0
2023-01-10,P006,Monitor 27inch 4K,Electronics,Pune,Maharashtra,6,34999.0,0,209994.0,65994.0
2023-01-10,P007,Gaming Mouse RGB,Peripherals,Mumbai,Maharashtra,11,2699.1,10,29690.1,16490.1
2023-01-10,P008,Laptop Stand Aluminum,Accessories,Pune,Maharashtra,7,1424.05,5,9968.35,5768.35
2023-01-11,P001,Laptop Pro X1,Electronics,Mumbai,Maharashtra,6,74999.0,0,449994.0,137994.0
2023-01-11,P002,Smart Watch S3,Wearables,Pune,Maharashtra,6,24999.0,0,149994.0,59994.0
2023-01-11,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,12,4999.0,0,59988.0,29988.0
2023-01-11,P004,USB-C Hub 7-in-1,Accessories,Chennai,Tamil Nadu,7,1799.1,10,12593.7,6993.7
2023-01-11,P005,Mechanical Keyboard,Peripherals,Bangalore,Karnataka,11,8999.0,0,98989.0,49489.0
2023-01-11,P006,Monitor 27inch 4K,Electronics,Kolkata,West Bengal,11,34999.0,0,384989.0,120989.0
2023-01-11,P007,Gaming Mouse RGB,Peripherals,Delhi,Delhi,8,2999.0,0,23992.0,14392.0
2023-01-11,P008,Laptop Stand Aluminum,Accessories,Kolkata,West Bengal,7,1349.1,10,9443.7,5243.7
2023-01-12,P001,Laptop Pro X1,Electronics,Delhi,Delhi,9,74999.0,0,674991.0,206991.0
2023-01-12,P002,Smart Watch S3,Wearables,Ahmedabad,Gujarat,9,24999.0,0,224991.0,89991.0
2023-01-12,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,10,4249.15,15,42491.5,17491.5
2023-01-12,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,13,1899.05,5,24687.65,14287.65
2023-01-12,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,5,8549.05,5,42745.25,20245.25
2023-01-12,P006,Monitor 27inch 4K,Electronics,Kolkata,West Bengal,9,34999.0,0,314991.0,98991.0
2023-01-12,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,8,2999.0,0,23992.0,14392.0
2023-01-12,P008,Laptop Stand Aluminum,Accessories,Bangalore,Karnataka,7,1499.0,0,10493.0,6293.0
2023-01-13,P001,Laptop Pro X1,Electronics,Mumbai,Maharashtra,6,67499.1,10,404994.6,92994.6
2023-01-13,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,5,22499.1,10,112495.5,37495.5
2023-01-13,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,9,4999.0,0,44991.0,22491.0
2023-01-13,P004,USB-C Hub 7-in-1,Accessories,Bangalore,Karnataka,6,1699.15,15,10194.9,5394.9
2023-01-13,P005,Mechanical Keyboard,Peripherals,Mumbai,Maharashtra,4,8999.0,0,35996.0,17996.0
2023-01-13,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,7,34999.0,0,244993.0,76993.0
2023-01-13,P007,Gaming Mouse RGB,Peripherals,Pune,Maharashtra,6,2999.0,0,17994.0,10794.0
2023-01-13,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,3,1499.0,0,4497.0,2697.0
2023-01-14,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,14,74999.0,0,1049986.0,321986.0
2023-01-14,P002,Smart Watch S3,Wearables,Delhi,Delhi,15,21249.15,15,318737.25,93737.25
2023-01-14,P003,Wireless Earbuds,Audio,Kolkata,West Bengal,11,4999.0,0,54989.0,27489.0
2023-01-14,P004,USB-C Hub 7-in-1,Accessories,Kolkata,West Bengal,5,1899.05,5,9495.25,5495.25
2023-01-14,P005,Mechanical Keyboard,Peripherals,Chennai,Tamil Nadu,7,8999.0,0,62993.0,31493.0
2023-01-14,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,15,29749.15,15,446237.25,86237.25
2023-01-14,P007,Gaming Mouse RGB,Peripherals,Ahmedabad,Gujarat,8,2999.0,0,23992.0,14392.0
2023-01-14,P008,Laptop Stand Aluminum,Accessories,Ahmedabad,Gujarat,12,1424.05,5,17088.6,9888.6
2023-01-15,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,9,63749.15,15,573742.35,105742.35
2023-01-15,P002,Smart Watch S3,Wearables,Mumbai,Maharashtra,12,21249.15,15,254989.8,74989.8
2023-01-15,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,9,4999.0,0,44991.0,22491.0
2023-01-15,P004,USB-C Hub 7-in-1,Accessories,Ahmedabad,Gujarat,16,1699.15,15,27186.4,14386.4
2023-01-15,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,15,8999.0,0,134985.0,67485.0
2023-01-15,P006,Monitor 27inch 4K,Electronics,Chennai,Tamil Nadu,9,34999.0,0,314991.0,98991.0
2023-01-15,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,7,2699.1,10,18893.7,10493.7
2023-01-15,P008,Laptop Stand Aluminum,Accessories,Kolkata,West Bengal,9,1499.0,0,13491.0,8091.0
2023-01-16,P001,Laptop Pro X1,Electronics,Ahmedabad,Gujarat,10,74999.0,0,749990.0,229990.0
2023-01-16,P002,Smart Watch S3,Wearables,Hyderabad,Telangana,10,23749.05,5,237490.5,87490.5
2023-01-16,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,3,4999.0,0,14997.0,7497.0
2023-01-16,P004,USB-C Hub 7-in-1,Accessories,Kolkata,West Bengal,11,1799.1,10,19790.1,10990.1
2023-01-16,P005,Mechanical Keyboard,Peripherals,Bangalore,Karnataka,9,8999.0,0,80991.0,40491.0
2023-01-16,P006,Monitor 27inch 4K,Electronics,Mumbai,Maharashtra,9,34999.0,0,314991.0,98991.0
2023-01-16,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,9,2999.0,0,26991.0,16191.0
2023-01-16,P008,Laptop Stand Aluminum,Accessories,Ahmedabad,Gujarat,10,1424.05,5,14240.5,8240.5
2023-01-17,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,6,74999.0,0,449994.0,137994.0
2023-01-17,P002,Smart Watch S3,Wearables,Ahmedabad,Gujarat,10,24999.0,0,249990.0,99990.0
2023-01-17,P003,Wireless Earbuds,Audio,Delhi,Delhi,14,4749.05,5,66486.7,31486.7
2023-01-17,P004,USB-C Hub 7-in-1,Accessories,Mumbai,Maharashtra,8,1899.05,5,15192.4,8792.4
2023-01-17,P005,Mechanical Keyboard,Peripherals,Hyderabad,Telangana,11,8549.05,5,94039.55,44539.55
2023-01-17,P006,Monitor 27inch 4K,Electronics,Hyderabad,Telangana,7,33249.05,5,232743.35,64743.35
2023-01-17,P007,Gaming Mouse RGB,Peripherals,Kolkata,West Bengal,5,2999.0,0,14995.0,8995.0
2023-01-17,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,7,1499.0,0,10493.0,6293.0
2023-01-18,P001,Laptop Pro X1,Electronics,Chennai,Tamil Nadu,9,74999.0,0,674991.0,206991.0
2023-01-18,P002,Smart Watch S3,Wearables,Mumbai,Maharashtra,8,21249.15,15,169993.2,49993.2
2023-01-18,P003,Wireless Earbuds,Audio,Pune,Maharashtra,10,4999.0,0,49990.0,24990.0
2023-01-18,P004,USB-C Hub 7-in-1,Accessories,Mumbai,Maharashtra,9,1799.1,10,16191.9,8991.9
2023-01-18,P005,Mechanical Keyboard,Peripherals,Kolkata,West Bengal,9,8099.1,10,72891.9,32391.9
2023-01-18,P006,Monitor 27inch 4K,Electronics,Delhi,Delhi,5,34999.0,0,174995.0,54995.0
2023-01-18,P007,Gaming Mouse RGB,Peripherals,Bangalore,Karnataka,5,2999.0,0,14995.0,8995.0
2023-01-18,P008,Laptop Stand Aluminum,Accessories,Bangalore,Karnataka,8,1349.1,10,10792.8,5992.8
2023-01-19,P001,Laptop Pro X1,Electronics,Bangalore,Karnataka,8,63749.15,15,509993.2,93993.2
2023-01-19,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,3,23749.05,5,71247.15,26247.15
2023-01-19,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,4,4499.1,10,17996.4,7996.4
2023-01-19,P004,USB-C Hub 7-in-1,Accessories,Chennai,Tamil Nadu,8,1799.1,10,14392.8,7992.8
2023-01-19,P005,Mechanical Keyboard,Peripherals,Mumbai,Maharashtra,9,8099.1,10,72891.9,32391.9
2023-01-19,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,8,33249.05,5,265992.4,73992.4
2023-01-19,P007,Gaming Mouse RGB,Peripherals,Pune,Maharashtra,8,2999.0,0,23992.0,14392.0
2023-01-19,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,9,1274.15,15,11467.35,6067.35
2023-01-20,P001,Laptop Pro X1,Electronics,Pune,Maharashtra,7,74999.0,0,524993.0,160993.0
2023-01-20,P002,Smart Watch S3,Wearables,Hyderabad,Telangana,11,23749.05,5,261239.55,96239.55
2023-01-20,P003,Wireless Earbuds,Audio,Delhi,Delhi,10,4249.15,15,42491.5,17491.5
2023-01-20,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,10,1899.05,5,18990.5,10990.5
2023-01-20,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,9,8999.0,0,80991.0,40491.0
2023-01-20,P006,Monitor 27inch 4K,Electronics,Mumbai,Maharashtra,6,33249.05,5,199494.3,55494.3
2023-01-20,P007,Gaming Mouse RGB,Peripherals,Bangalore,Karnataka,5,2999.0,0,14995.0,8995.0
2023-01-20,P008,Laptop Stand Aluminum,Accessories,Chennai,Tamil Nadu,9,1349.1,10,12141.9,6741.9
2023-01-21,P001,Laptop Pro X1,Electronics,Hyderabad,Telangana,8,74999.0,0,599992.0,183992.0
2023-01-21,P002,Smart Watch S3,Wearables,Pune,Maharashtra,7,24999.0,0,174993.0,69993.0
2023-01-21,P003,Wireless Earbuds,Audio,Chennai,Tamil Nadu,11,4999.0,0,54989.0,27489.0
2023-01-21,P004,USB-C Hub 7-in-1,Accessories,Hyderabad,Telangana,12,1999.0,0,23988.0,14388.0
2023-01-21,P005,Mechanical Keyboard,Peripherals,Kolkata,West Bengal,16,8099.1,10,129585.6,57585.6
2023-01-21,P006,Monitor 27inch 4K,Electronics,Hyderabad,Telangana,11,31499.1,10,346490.1,82490.1
2023-01-21,P007,Gaming Mouse RGB,Peripherals,Mumbai,Maharashtra,19,2549.15,15,48433.85,25633.85
2023-01-21,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,4,1274.15,15,5096.6,2696.6
2023-01-22,P001,Laptop Pro X1,Electronics,Bangalore,Karnataka,8,74999.0,0,599992.0,183992.0
2023-01-22,P002,Smart Watch S3,Wearables,Hyderabad,Telangana,11,24999.0,0,274989.0,109989.0
2023-01-22,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,14,4249.15,15,59488.1,24488.1
2023-01-22,P004,USB-C Hub 7-in-1,Accessories,Delhi,Delhi,5,1999.0,0,9995.0,5995.0
2023-01-22,P005,Mechanical Keyboard,Peripherals,Hyderabad,Telangana,8,8099.1,10,64792.8,28792.8
2023-01-22,P006,Monitor 27inch 4K,Electronics,Chennai,Tamil Nadu,12,29749.15,15,356989.8,68989.8
2023-01-22,P007,Gaming Mouse RGB,Peripherals,Pune,Maharashtra,9,2999.0,0,26991.0,16191.0
2023-01-22,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,15,1349.1,10,20236.5,11236.5
2023-01-23,P001,Laptop Pro X1,Electronics,Kolkata,West Bengal,11,74999.0,0,824989.0,252989.0
2023-01-23,P002,Smart Watch S3,Wearables,Mumbai,Maharashtra,8,24999.0,0,199992.0,79992.0
2023-01-23,P003,Wireless Earbuds,Audio,Ahmedabad,Gujarat,10,4999.0,0,49990.0,24990.0
2023-01-23,P004,USB-C Hub 7-in-1,Accessories,Mumbai,Maharashtra,8,1999.0,0,15992.0,9592.0
2023-01-23,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,5,8999.0,0,44995.0,22495.0
2023-01-23,P006,Monitor 27inch 4K,Electronics,Hyderabad,Telangana,5,34999.0,0,174995.0,54995.0
2023-01-23,P007,Gaming Mouse RGB,Peripherals,Kolkata,West Bengal,12,2699.1,10,32389.2,17989.2
2023-01-23,P008,Laptop Stand Aluminum,Accessories,Ahmedabad,Gujarat,7,1349.1,10,9443.7,5243.7
2023-01-24,P001,Laptop Pro X1,Electronics,Mumbai,Maharashtra,13,74999.0,0,974987.0,298987.0
2023-01-24,P002,Smart Watch S3,Wearables,Bangalore,Karnataka,6,21249.15,15,127494.9,37494.9
2023-01-24,P003,Wireless Earbuds,Audio,Delhi,Delhi,7,4499.1,10,31493.7,13993.7
2023-01-24,P004,USB-C Hub 7-in-1,Accessories,Mumbai,Maharashtra,12,1999.0,0,23988.0,14388.0
2023-01-24,P005,Mechanical Keyboard,Peripherals,Delhi,Delhi,8,8549.05,5,68392.4,32392.4
2023-01-24,P006,Monitor 27inch 4K,Electronics,Delhi,Delhi,12,34999.0,0,419988.0,131988.0
2023-01-24,P007,Gaming Mouse RGB,Peripherals,Hyderabad,Telangana,3,2999.0,0,8997.0,5397.0
2023-01-24,P008,Laptop Stand Aluminum,Accessories,Mumbai,Maharashtra,9,1499.0,0,13491.0,8091.0
2023-01-25,P001,Laptop Pro X1,Electronics,Chennai,Tamil Nadu,6,63749.15,15,382494.9,70494.9
2023-01-25,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,6,21249.15,15,127494.9,37494.9
2023-01-25,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,8,4999.0,0,39992.0,19992.0
2023-01-25,P004,USB-C Hub 7-in-1,Accessories,Ahmedabad,Gujarat,8,1799.1,10,14392.8,7992.8
2023-01-25,P005,Mechanical Keyboard,Peripherals,Delhi,Delhi,6,8999.0,0,53994.0,26994.0
2023-01-25,P006,Monitor 27inch 4K,Electronics,Delhi,Delhi,5,34999.0,0,174995.0,54995.0
2023-01-25,P007,Gaming Mouse RGB,Peripherals,Ahmedabad,Gujarat,9,2999.0,0,26991.0,16191.0
2023-01-25,P008,Laptop Stand Aluminum,Accessories,Delhi,Delhi,11,1274.15,15,14015.65,7415.65
2023-01-26,P001,Laptop Pro X1,Electronics,Pune,Maharashtra,7,71249.05,5,498743.35,134743.35
2023-01-26,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,9,24999.0,0,224991.0,89991.0
2023-01-26,P003,Wireless Earbuds,Audio,Delhi,Delhi,4,4249.15,15,16996.6,6996.6
2023-01-26,P004,USB-C Hub 7-in-1,Accessories,Bangalore,Karnataka,4,1899.05,5,7596.2,4396.2
2023-01-26,P005,Mechanical Keyboard,Peripherals,Mumbai,Maharashtra,6,8549.05,5,51294.3,24294.3
2023-01-26,P006,Monitor 27inch 4K,Electronics,Chennai,Tamil Nadu,4,34999.0,0,139996.0,43996.0
2023-01-26,P007,Gaming Mouse RGB,Peripherals,Kolkata,West Bengal,10,2999.0,0,29990.0,17990.0
2023-01-26,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,10,1499.0,0,14990.0,8990.0
2023-01-27,P001,Laptop Pro X1,Electronics,Chennai,Tamil Nadu,9,74999.0,0,674991.0,206991.0
2023-01-27,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,15,23749.05,5,356235.75,131235.75
2023-01-27,P003,Wireless Earbuds,Audio,Pune,Maharashtra,7,4999.0,0,34993.0,17493.0
2023-01-27,P004,USB-C Hub 7-in-1,Accessories,Bangalore,Karnataka,13,1999.0,0,25987.0,15587.0
2023-01-27,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,5,7649.15,15,38245.75,15745.75
2023-01-27,P006,Monitor 27inch 4K,Electronics,Ahmedabad,Gujarat,10,29749.15,15,297491.5,57491.5
2023-01-27,P007,Gaming Mouse RGB,Peripherals,Pune,Maharashtra,7,2999.0,0,20993.0,12593.0
2023-01-27,P008,Laptop Stand Aluminum,Accessories,Bangalore,Karnataka,11,1499.0,0,16489.0,9889.0
2023-01-28,P001,Laptop Pro X1,Electronics,Delhi,Delhi,9,67499.1,10,607491.9,139491.9
2023-01-28,P002,Smart Watch S3,Wearables,Hyderabad,Telangana,14,24999.0,0,349986.0,139986.0
2023-01-28,P003,Wireless Earbuds,Audio,Bangalore,Karnataka,12,4499.1,10,53989.2,23989.2
2023-01-28,P004,USB-C Hub 7-in-1,Accessories,Ahmedabad,Gujarat,16,1999.0,0,31984.0,19184.0
2023-01-28,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,7,8549.05,5,59843.35,28343.35
2023-01-28,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,8,33249.05,5,265992.4,73992.4
2023-01-28,P007,Gaming Mouse RGB,Peripherals,Chennai,Tamil Nadu,11,2999.0,0,32989.0,19789.0
2023-01-28,P008,Laptop Stand Aluminum,Accessories,Mumbai,Maharashtra,15,1274.15,15,19112.25,10112.25
2023-01-29,P001,Laptop Pro X1,Electronics,Ahmedabad,Gujarat,7,74999.0,0,524993.0,160993.0
2023-01-29,P002,Smart Watch S3,Wearables,Chennai,Tamil Nadu,8,24999.0,0,199992.0,79992.0
2023-01-29,P003,Wireless Earbuds,Audio,Ahmedabad,Gujarat,9,4999.0,0,44991.0,22491.0
2023-01-29,P004,USB-C Hub 7-in-1,Accessories,Pune,Maharashtra,14,1799.1,10,25187.4,13987.4
2023-01-29,P005,Mechanical Keyboard,Peripherals,Pune,Maharashtra,9,7649.15,15,68842.35,28342.35
2023-01-29,P006,Monitor 27inch 4K,Electronics,Bangalore,Karnataka,11,29749.15,15,327240.65,63240.65
2023-01-29,P007,Gaming Mouse RGB,Peripherals,Hyderabad,Telangana,12,2699.1,10,32389.2,17989.2
2023-01-29,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,9,1274.15,15,11467.35,6067.35
2023-01-30,P001,Laptop Pro X1,Electronics,Ahmedabad,Gujarat,7,74999.0,0,524993.0,160993.0
2023-01-30,P002,Smart Watch S3,Wearables,Ahmedabad,Gujarat,8,21249.15,15,169993.2,49993.2
2023-01-30,P003,Wireless Earbuds,Audio,Hyderabad,Telangana,11,4499.1,10,49490.1,21990.1
2023-01-30,P004,USB-C Hub 7-in-1,Accessories,Delhi,Delhi,12,1999.0,0,23988.0,14388.0
2023-01-30,P005,Mechanical Keyboard,Peripherals,Ahmedabad,Gujarat,8,7649.15,15,61193.2,25193.2
2023-01-30,P006,Monitor 27inch 4K,Electronics,Ahmedabad,Gujarat,11,29749.15,15,327240.65,63240.65
2023-01-30,P007,Gaming Mouse RGB,Peripherals,Delhi,Delhi,5,2699.1,10,13495.5,7495.5
2023-01-30,P008,Laptop Stand Aluminum,Accessories,Hyderabad,Telangana,10,1424.05,5,14240.5,8240.5
